File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0825_01_mesh_1.ply,34.052,437.979,22.759,13.602,4.028,0.017
0825_01_mesh_10.ply,1255.79,2190.42,43.049,18.075,14.173,0.258
0825_01_mesh_11.ply,1265.198,2139.465,62.996,22.247,15.908,0.21
0825_01_mesh_12.ply,257.491,928.487,28.57,15.191,7.014,0.105
0825_01_mesh_2.ply,703.175,1727.854,56.138,17.909,7.215,0.056
0825_01_mesh_3.ply,225.265,398.607,11.665,12.336,8.122,0.056
0825_01_mesh_4.ply,233.424,505.443,22.852,16.257,4.138,0.045
0825_01_mesh_5.ply,151.392,872.88,22.072,17.161,8.735,0.111
0825_01_mesh_6.ply,196.877,453.472,13.74,11.308,9.195,0.068
0825_01_mesh_7.ply,501.463,1779.822,56.037,13.091,11.154,0.239
0825_01_mesh_8.ply,2941.417,3602.321,87.824,31.84,14.517,0.612
0825_01_mesh_9.ply,530.899,1190.687,30.268,20.199,14.031,0.212
