File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S17c_mesh_1.ply,2787.790,7166.073,116.225,69.608,26.550,
S17c_mesh_2.ply,606.822,2183.582,51.209,26.731,27.532,
S17c_mesh_3.ply,1494.283,4123.214,66.082,57.777,21.734,
