File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0403_01_mesh_1.ply,129.568,448.084,41.96,30.626,14.465,0.064
0403_01_mesh_10.ply,211.635,295.521,23.597,9.11,4.669,0.059
0403_01_mesh_2.ply,8902.834,4222.57,122.184,21.513,20.837,3.356
0403_01_mesh_3.ply,50.237,125.635,12.353,6.082,3.343,0.016
0403_01_mesh_4.ply,28.21,146.172,30.683,5.139,2.906,0.037
0403_01_mesh_5.ply,37.155,151.258,26.804,4.181,3.528,0.017
0403_01_mesh_6.ply,-0.161,166.067,37.065,12.034,4.056,0.027
0403_01_mesh_7.ply,1265.456,922.427,16.56,18.696,13.915,
0403_01_mesh_8.ply,102.885,222.412,34.131,6.29,4.569,0.028
0403_01_mesh_9.ply,231.41,457.686,51.89,17.651,5.796,0.077
