File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0407_10_mesh_1.ply,2764.274,2003.571,66.304,36.502,12.447,1.113
0407_10_mesh_10.ply,710.576,641.631,25.783,9.397,8.073,0.207
0407_10_mesh_11.ply,2560.394,1759.345,71.73,13.85,9.419,0.768
0407_10_mesh_12.ply,1012.148,842.086,15.054,11.324,13.552,
0407_10_mesh_13.ply,259.989,462.217,27.563,14.763,6.802,0.069
0407_10_mesh_2.ply,2710.17,2108.524,76.041,30.283,16.07,1.318
0407_10_mesh_3.ply,202.747,313.442,26.636,5.444,4.067,0.063
0407_10_mesh_4.ply,14125.232,4926.327,87.775,46.123,27.418,6.004
0407_10_mesh_5.ply,2207.116,1242.976,40.186,15.981,10.021,0.597
0407_10_mesh_6.ply,125.397,271.209,27.831,4.704,4.142,0.052
0407_10_mesh_7.ply,119.608,256.528,13.984,7.809,5.841,0.073
0407_10_mesh_8.ply,248.759,273.887,12.847,7.402,5.2,0.071
0407_10_mesh_9.ply,397.445,740.195,34.381,8.933,7.774,0.119
