File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0825_09_mesh_1.ply,173.434,951.674,37.314,13.215,9.099,
0825_09_mesh_10.ply,62.705,309.858,31.302,7.304,1.546,
0825_09_mesh_11.ply,2.485,733.477,33.564,10.614,5.361,
0825_09_mesh_12.ply,77.740,326.851,22.150,11.473,2.840,
0825_09_mesh_2.ply,226.310,555.177,33.589,5.918,7.014,
0825_09_mesh_3.ply,671.572,1739.118,49.188,21.922,9.482,
0825_09_mesh_4.ply,255.587,1210.406,50.019,22.768,5.871,
0825_09_mesh_5.ply,175.277,940.887,38.761,14.737,7.320,
0825_09_mesh_6.ply,234.499,440.501,46.036,9.664,5.696,
0825_09_mesh_7.ply,61.535,2511.466,70.157,24.492,7.448,
0825_09_mesh_8.ply,240.216,539.418,35.285,9.053,8.416,
0825_09_mesh_9.ply,8.904,830.999,28.033,15.611,7.602,
