File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0825_03_mesh_1.ply,1512.960,1666.318,36.735,34.570,6.246,
0825_03_mesh_2.ply,1092.608,2561.482,52.284,29.072,12.643,
0825_03_mesh_3.ply,710.050,1880.339,58.488,20.106,11.710,
0825_03_mesh_4.ply,209.845,1497.196,47.855,19.559,9.272,
0825_03_mesh_5.ply,43.496,1170.569,31.017,24.159,4.494,
0825_03_mesh_6.ply,110.288,2181.471,48.211,23.076,9.075,
0825_03_mesh_7.ply,2199.165,1851.118,49.882,22.807,8.315,
0825_03_mesh_8.ply,4.030,276.092,19.880,9.341,2.442,
0825_03_mesh_9.ply,333.878,1922.837,37.243,19.218,15.311,
