File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0825_06_mesh_1.ply,666.280,2397.056,60.755,29.562,9.305,
0825_06_mesh_10.ply,376.426,934.377,42.083,13.038,12.700,
0825_06_mesh_11.ply,207.110,395.368,22.970,10.774,2.818,
0825_06_mesh_2.ply,372.719,620.246,35.866,10.280,3.624,
0825_06_mesh_3.ply,2120.904,4665.119,115.759,20.266,14.650,
0825_06_mesh_4.ply,456.874,993.889,66.166,12.837,9.177,
0825_06_mesh_5.ply,179.315,466.794,19.495,17.014,2.941,
0825_06_mesh_6.ply,80.020,645.208,27.698,19.317,3.191,
0825_06_mesh_7.ply,116.997,580.502,23.683,18.886,2.939,
0825_06_mesh_8.ply,178.070,850.898,35.715,13.995,3.934,
0825_06_mesh_9.ply,228.975,1517.036,55.569,14.284,11.438,
