File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0825_03_mesh_1.ply,198.893,710.643,34.693,11.022,7.034,0.068
0825_03_mesh_10.ply,346.810,1067.894,51.322,14.549,4.672,0.099
0825_03_mesh_11.ply,688.861,1306.049,22.435,28.397,8.641,0.318
0825_03_mesh_12.ply,459.050,784.774,17.141,12.686,11.055,0.092
0825_03_mesh_2.ply,191.055,507.922,39.192,9.764,2.515,0.038
0825_03_mesh_3.ply,2669.553,2784.395,94.015,18.884,8.934,0.503
0825_03_mesh_4.ply,319.185,872.444,29.784,17.812,5.600,0.067
0825_03_mesh_5.ply,1668.822,2704.644,88.757,31.770,13.859,0.310
0825_03_mesh_6.ply,399.577,990.051,75.288,17.218,12.889,0.203
0825_03_mesh_7.ply,199.681,438.617,19.737,12.278,2.748,0.053
0825_03_mesh_8.ply,233.788,925.239,33.625,12.512,7.522,0.067
0825_03_mesh_9.ply,86.077,428.560,19.705,14.484,5.326,0.027
