File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0822_02_mesh_1.ply,1791.562,3133.294,119.065,19.876,13.481,
0822_02_mesh_2.ply,1818.749,4820.637,76.688,29.586,23.134,
0822_02_mesh_3.ply,510.616,1250.934,45.312,17.005,4.638,
0822_02_mesh_4.ply,751.673,1120.584,32.983,22.782,8.867,
0822_02_mesh_5.ply,898.465,1649.773,27.518,22.485,22.836,
0822_02_mesh_6.ply,526.943,1292.570,47.856,18.934,8.210,
0822_02_mesh_7.ply,297.012,657.184,26.826,12.325,5.779,
0822_02_mesh_8.ply,517.540,975.865,86.045,10.636,5.217,
0822_02_mesh_9.ply,470.705,614.387,40.117,8.726,6.413,
