File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0819_13 cylinder_mesh_1.ply,1015.240,1010.674,36.999,9.586,8.409,
0819_13 cylinder_mesh_2.ply,1912.083,3260.578,63.220,23.407,11.528,
0819_13 cylinder_mesh_3.ply,472.783,744.740,21.941,13.117,10.580,
0819_13 cylinder_mesh_4.ply,2145.088,2019.477,62.520,11.161,9.638,
0819_13 cylinder_mesh_5.ply,1357.879,1617.999,40.356,11.405,11.177,
0819_13 cylinder_mesh_6.ply,767.426,2270.147,67.814,14.918,10.672,
0819_13 cylinder_mesh_7.ply,637.555,921.017,19.778,12.343,10.644,
