File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0824_04_mesh_1.ply,359.209,1844.214,54.253,20.351,7.562,
0824_04_mesh_10.ply,526.179,908.173,27.581,17.609,6.110,
0824_04_mesh_2.ply,727.671,673.717,22.815,15.443,6.267,
0824_04_mesh_3.ply,393.351,1007.723,42.924,14.164,6.559,
0824_04_mesh_4.ply,4407.914,3242.816,72.597,26.804,13.477,
0824_04_mesh_5.ply,695.930,887.748,41.415,14.628,4.953,
0824_04_mesh_6.ply,22.724,944.212,48.712,11.970,5.791,
0824_04_mesh_7.ply,945.878,1095.651,40.261,16.530,10.223,
0824_04_mesh_8.ply,1221.164,2055.732,71.750,20.630,13.439,
0824_04_mesh_9.ply,45.046,386.975,40.574,6.982,1.105,
