File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0831_18_mesh_1.ply,257.076,474.408,35.334,8.295,4.044,
0831_18_mesh_10.ply,67.859,218.826,14.165,9.208,1.933,
0831_18_mesh_11.ply,160.526,357.961,15.965,13.740,3.505,
0831_18_mesh_12.ply,318.623,631.175,34.188,15.639,5.256,
0831_18_mesh_13.ply,78.740,208.183,17.276,7.668,2.386,
0831_18_mesh_14.ply,53.469,251.503,25.216,7.357,2.332,
0831_18_mesh_15.ply,115.009,238.336,12.563,9.142,3.265,
0831_18_mesh_16.ply,113.558,193.249,11.170,9.180,3.087,
0831_18_mesh_17.ply,129.175,221.848,14.536,10.573,4.071,
0831_18_mesh_18.ply,178.105,378.848,15.818,13.419,8.065,
0831_18_mesh_19.ply,30.782,149.875,12.485,9.734,4.525,
0831_18_mesh_2.ply,229.148,400.198,29.040,9.410,4.386,
0831_18_mesh_20.ply,152.546,273.092,14.893,10.964,2.459,
0831_18_mesh_21.ply,54.289,246.950,16.497,8.677,1.902,
0831_18_mesh_22.ply,33.000,170.544,18.929,5.557,2.134,
0831_18_mesh_23.ply,174.503,247.253,14.293,10.975,4.120,
0831_18_mesh_24.ply,385.430,616.180,42.183,9.077,7.272,
0831_18_mesh_25.ply,190.855,371.667,18.486,10.701,4.022,
0831_18_mesh_3.ply,99.814,338.319,18.301,10.905,2.782,
0831_18_mesh_4.ply,151.210,282.844,18.535,8.225,2.672,
0831_18_mesh_5.ply,63.544,272.800,15.339,10.397,1.934,
0831_18_mesh_6.ply,118.358,268.553,17.422,11.558,4.469,
0831_18_mesh_7.ply,152.726,323.524,14.388,11.592,4.609,
0831_18_mesh_8.ply,152.651,320.127,14.242,12.027,3.827,
0831_18_mesh_9.ply,46.526,186.763,13.153,9.376,1.886,
