File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S10_mesh_1.ply,537.590,723.261,25.113,15.608,8.259,0.083
S10_mesh_2.ply,35.788,184.113,23.332,8.446,2.984,0.029
