File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0819_07_mesh_1.ply,2322.018,5538.392,123.128,45.800,13.567,
0819_07_mesh_2.ply,391.847,1173.342,45.358,17.466,11.320,
0819_07_mesh_3.ply,438.814,1016.703,34.462,19.536,8.489,
0819_07_mesh_4.ply,1171.982,2052.185,75.464,19.540,9.888,
0819_07_mesh_5.ply,604.140,1066.645,34.974,17.896,9.114,
0819_07_mesh_6.ply,241.814,776.713,28.159,16.284,6.567,
0819_07_mesh_7.ply,1094.294,2045.209,53.493,15.595,10.999,
0819_07_mesh_8.ply,564.948,1160.474,39.581,18.879,8.544,
