File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0825_07_mesh_1.ply,81.539,239.199,15.079,9.424,4.111,
0825_07_mesh_10.ply,40.903,217.563,13.939,10.052,5.675,
0825_07_mesh_11.ply,131.048,398.828,22.686,8.529,5.741,
0825_07_mesh_12.ply,58.632,176.810,11.618,7.701,2.658,
0825_07_mesh_13.ply,173.889,430.103,24.034,9.653,3.689,
0825_07_mesh_14.ply,3.005,256.553,20.769,8.007,3.233,
0825_07_mesh_15.ply,269.300,615.549,31.001,9.388,5.252,
0825_07_mesh_2.ply,525.052,1163.066,54.824,11.737,7.463,
0825_07_mesh_3.ply,71.694,275.328,21.050,7.993,5.086,
0825_07_mesh_4.ply,67.905,228.978,18.222,8.331,3.665,
0825_07_mesh_5.ply,70.544,196.587,16.622,7.020,3.120,
0825_07_mesh_6.ply,62.698,216.395,10.434,8.789,7.731,
0825_07_mesh_7.ply,73.225,354.033,21.201,9.555,2.823,
0825_07_mesh_8.ply,42.674,172.800,12.472,8.046,4.259,
0825_07_mesh_9.ply,60.872,160.330,14.281,8.683,2.772,
