File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0406_13_mesh_1.ply,175.865,313.154,32.826,8.954,4.428,0.04
0406_13_mesh_10.ply,276.55,300.542,22.242,6.624,4.709,0.084
0406_13_mesh_11.ply,164.857,223.206,17.641,6.887,5.035,0.058
0406_13_mesh_12.ply,86.085,168.03,15.395,6.089,4.372,0.017
0406_13_mesh_13.ply,105.42,151.538,14.185,3.754,3.959,0.031
0406_13_mesh_14.ply,37.316,334.141,27.063,9.36,5.896,0.022
0406_13_mesh_15.ply,127.487,179.902,17.127,7.113,4.618,0.038
0406_13_mesh_16.ply,166.008,182.57,11.516,5.998,5.768,0.057
0406_13_mesh_17.ply,1277.346,876.791,19.527,15.998,14.217,
0406_13_mesh_18.ply,157.24,193.773,13.766,6.009,5.063,0.066
0406_13_mesh_19.ply,169.265,345.665,34.777,11.703,4.762,0.064
0406_13_mesh_2.ply,181.804,242.723,19.139,7.757,5.721,0.065
0406_13_mesh_3.ply,134.959,317.37,39.645,8.491,3.85,0.037
0406_13_mesh_4.ply,486.11,687.708,56.884,16.62,13.455,0.152
0406_13_mesh_5.ply,214.544,324.541,34.156,9.457,5.864,0.089
0406_13_mesh_6.ply,3706.338,3101.074,125.584,53.973,17.341,1.887
0406_13_mesh_7.ply,472.617,554.53,47.08,7.949,5.015,0.135
0406_13_mesh_8.ply,380.682,456.913,39.666,9.898,7.369,0.132
0406_13_mesh_9.ply,159.357,337.572,40.848,8.022,5.259,0.12
