File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0405_01_mesh_1.ply,90.645,336.845,47.027,13.648,5.469,0.026
0405_01_mesh_10.ply,58.343,105.865,10.369,5.739,4.484,0.017
0405_01_mesh_11.ply,97.038,209.942,34.487,5.304,3.335,0.03
0405_01_mesh_2.ply,314.413,534.707,61.867,8.363,4.277,0.11
0405_01_mesh_3.ply,72.352,173.661,20.38,10.056,6.525,0.025
0405_01_mesh_4.ply,214.785,511.755,66.226,9.552,11.277,0.07
0405_01_mesh_5.ply,72.89,446.922,99.889,23.133,9.457,0.243
0405_01_mesh_6.ply,442.139,807.375,82.705,29.905,7.704,0.129
0405_01_mesh_7.ply,41.877,130.632,19.198,4.583,2.73,0.011
0405_01_mesh_8.ply,333.917,760.483,57.944,42.975,8.207,0.073
0405_01_mesh_9.ply,1197.633,755.324,12.076,12.394,14.105,
