File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0507_01_mesh_1.ply,1843.706,1550.093,44.018,17.217,9.217,0.620
0507_01_mesh_10.ply,1131.131,817.452,16.582,15.027,13.279,
0507_01_mesh_11.ply,2756.399,1883.990,73.732,18.199,13.552,1.252
0507_01_mesh_4.ply,1141.326,1297.308,50.075,9.417,9.211,0.592
0507_01_mesh_2.ply,2700.215,1460.722,38.007,18.706,12.124,0.902
0507_01_mesh_3.ply,1576.996,1427.482,54.636,12.896,9.727,0.797
0507_01_mesh_5.ply,8174.959,3796.912,75.489,21.463,15.026,2.458
0507_01_mesh_6.ply,317.220,419.196,22.583,7.600,4.764,0.113
0507_01_mesh_7.ply,1744.364,1897.068,76.443,31.663,9.296,0.607
0507_01_mesh_8.ply,356.828,845.211,29.906,16.458,9.933,0.125
0507_01_mesh_9.ply,244.337,359.178,18.872,8.474,6.050,0.118
