File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0507_02_mesh_1.ply,44.955,434.397,25.672,12.976,5.243,0.038
0507_02_mesh_10.ply,15.295,271.302,16.783,8.401,4.928,0.022
0507_02_mesh_11.ply,296.174,389.819,34.325,8.954,5.514,0.136
0507_02_mesh_12.ply,571.915,557.574,30.915,6.918,6.642,0.170
0507_02_mesh_13.ply,240.172,316.182,28.605,4.829,4.659,0.074
0507_02_mesh_14.ply,29.281,491.871,19.579,13.285,7.893,0.070
0507_02_mesh_15.ply,858.279,599.528,13.291,10.356,12.703,
0507_02_mesh_16.ply,240.302,260.614,18.027,5.563,5.042,0.061
0507_02_mesh_17.ply,1119.416,912.500,37.989,11.144,7.529,0.338
0507_02_mesh_18.ply,129.021,189.372,11.897,9.293,4.932,0.062
0507_02_mesh_19.ply,129.290,169.654,9.161,6.761,4.968,0.044
0507_02_mesh_2.ply,832.151,986.407,63.985,23.652,10.688,0.567
0507_02_mesh_20.ply,256.368,274.134,8.902,11.475,9.373,0.043
0507_02_mesh_21.ply,185.426,217.686,10.185,9.948,7.898,0.076
0507_02_mesh_3.ply,1257.160,1534.234,83.877,43.095,11.874,0.578
0507_02_mesh_4.ply,1120.856,850.064,35.420,14.729,8.570,0.337
0507_02_mesh_5.ply,971.868,612.067,20.233,13.735,8.052,0.346
0507_02_mesh_6.ply,502.361,422.545,17.252,11.999,6.942,0.199
0507_02_mesh_7.ply,570.636,441.462,22.018,9.193,7.203,0.161
0507_02_mesh_8.ply,334.524,355.140,21.228,8.926,6.107,0.101
0507_02_mesh_9.ply,1151.036,687.973,17.527,15.081,12.014,0.341
