File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0507_09_mesh_1.ply,1984.651,1160.397,42.428,13.189,10.814,0.882
0507_09_mesh_10.ply,434.905,434.88,24.023,10.213,8.002,0.174
0507_09_mesh_11.ply,311.384,374.922,28.963,9.166,5.055,0.084
0507_09_mesh_12.ply,16.476,314.886,20.627,9.923,4.407,0.052
0507_09_mesh_13.ply,328.687,333.208,18.551,5.893,5.124,0.083
0507_09_mesh_14.ply,370.906,409.028,20.915,6.835,6.671,0.116
0507_09_mesh_15.ply,1249.323,968.882,45.474,10.297,7.514,0.335
0507_09_mesh_16.ply,1217.566,854.464,16.431,16.122,12.826,
0507_09_mesh_17.ply,882.54,631.82,27.123,14.319,7.517,0.334
0507_09_mesh_2.ply,1699.31,1744.504,108.331,12.937,7.777,0.417
0507_09_mesh_3.ply,510.49,489.958,23.323,10.998,6.619,0.135
0507_09_mesh_4.ply,851.988,667.957,30.151,9.651,6.414,0.234
0507_09_mesh_5.ply,350.667,419.016,26.331,9.733,6.012,0.088
0507_09_mesh_6.ply,833.48,626.521,23.677,12.332,7.788,0.251
0507_09_mesh_7.ply,547.71,561.345,29.204,12.937,6.198,0.13
0507_09_mesh_8.ply,229.589,241.813,13.476,6.118,5.183,0.059
0507_09_mesh_9.ply,1773.946,1323.607,59.425,9.162,8.304,0.475
