File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0506_02_mesh_1.ply,28.711,61.910,6.660,4.443,2.905,0.008
0506_02_mesh_10.ply,66.950,108.194,9.363,4.428,4.405,0.017
0506_02_mesh_11.ply,65.236,100.377,8.622,4.735,3.877,0.018
0506_02_mesh_12.ply,1287.702,923.244,16.337,19.494,14.618,
0506_02_mesh_13.ply,20.308,97.510,12.304,4.720,2.930,0.005
0506_02_mesh_14.ply,36.168,100.524,15.209,4.303,2.716,0.011
0506_02_mesh_15.ply,45.916,83.900,10.181,3.474,2.795,0.010
0506_02_mesh_16.ply,0.011,94.297,8.323,6.144,1.748,0.005
0506_02_mesh_2.ply,41.098,87.510,10.435,4.038,3.320,0.012
0506_02_mesh_3.ply,20.056,98.415,9.065,6.897,3.273,0.007
0506_02_mesh_4.ply,61.822,104.623,7.524,6.815,4.647,0.017
0506_02_mesh_5.ply,4.002,138.975,17.412,5.914,1.686,0.008
0506_02_mesh_6.ply,13.418,100.928,11.670,4.734,1.667,0.007
0506_02_mesh_7.ply,51.994,110.820,10.974,5.814,2.363,0.010
0506_02_mesh_8.ply,3.270,65.199,7.083,5.337,1.170,0.004
0506_02_mesh_9.ply,76.854,159.779,18.397,7.270,4.163,0.020
