File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0506_05_mesh_1.ply,16.011,135.415,13.070,6.488,1.655,0.008
0506_05_mesh_10.ply,27.314,57.414,5.142,3.581,3.983,0.007
0506_05_mesh_11.ply,1286.602,896.403,20.200,15.911,13.879,
0506_05_mesh_12.ply,24.973,176.180,10.979,8.339,2.584,0.016
0506_05_mesh_13.ply,30.121,63.082,5.733,4.485,3.024,0.009
0506_05_mesh_14.ply,17.191,158.460,12.984,7.274,1.755,0.012
0506_05_mesh_15.ply,68.754,153.713,6.785,6.907,4.026,0.024
0506_05_mesh_16.ply,122.421,319.109,26.433,8.619,5.228,0.036
0506_05_mesh_17.ply,57.528,190.621,26.420,5.229,5.834,0.015
0506_05_mesh_18.ply,107.837,215.299,13.275,5.846,5.390,0.039
0506_05_mesh_19.ply,51.262,119.451,17.730,5.673,2.965,0.011
0506_05_mesh_2.ply,11.978,153.467,18.988,5.014,1.336,0.008
0506_05_mesh_20.ply,48.961,215.286,14.606,10.593,2.525,0.010
0506_05_mesh_21.ply,39.338,162.343,26.909,6.300,2.953,0.011
0506_05_mesh_22.ply,44.565,125.619,6.685,8.771,4.142,0.016
0506_05_mesh_23.ply,28.679,129.323,11.597,5.269,3.009,0.012
0506_05_mesh_3.ply,134.309,206.455,15.326,4.825,4.637,0.042
0506_05_mesh_4.ply,55.523,214.266,11.900,10.694,2.754,0.010
0506_05_mesh_5.ply,5.575,134.823,9.914,7.378,3.999,0.018
0506_05_mesh_6.ply,98.137,179.167,9.357,7.563,5.299,0.041
0506_05_mesh_7.ply,157.603,205.417,11.079,6.999,5.610,0.038
0506_05_mesh_8.ply,161.277,248.772,21.848,5.775,5.772,0.044
0506_05_mesh_9.ply,124.754,236.660,17.276,10.930,3.086,0.027
