File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0507_06_mesh_1.ply,4245.979,2067.572,54.977,26.063,12.994,1.186
0507_06_mesh_10.ply,4476.926,2190.608,64.316,17.532,10.798,1.144
0507_06_mesh_11.ply,820.290,902.009,59.242,11.842,5.905,0.230
0507_06_mesh_12.ply,2025.047,1234.429,40.490,13.100,11.456,1.161
0507_06_mesh_13.ply,1.071,15.565,8.494,1.762,1.474,
0507_06_mesh_14.ply,1474.953,1117.674,47.816,14.784,7.654,0.392
0507_06_mesh_2.ply,181.904,302.399,31.594,12.207,4.673,0.045
0507_06_mesh_3.ply,348.198,411.087,31.826,5.780,5.799,0.093
0507_06_mesh_4.ply,757.748,615.951,13.876,13.000,12.257,
0507_06_mesh_5.ply,1588.241,1024.651,27.334,15.326,12.471,0.507
0507_06_mesh_6.ply,1666.330,1021.519,38.419,14.565,11.603,0.664
0507_06_mesh_7.ply,1633.326,1273.318,62.126,18.088,8.020,0.547
0507_06_mesh_8.ply,2430.302,1234.723,38.755,14.328,10.551,0.613
0507_06_mesh_9.ply,304.133,260.525,13.266,7.264,5.532,0.085
