File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S8c_mesh_1.ply,456.152,803.367,49.917,9.237,3.728,
S8c_mesh_10.ply,243.441,726.209,55.155,11.947,6.938,
S8c_mesh_11.ply,80.581,485.216,20.374,11.545,7.999,
S8c_mesh_12.ply,208.845,533.218,26.368,13.465,6.640,
S8c_mesh_2.ply,4.188,136.955,43.826,5.518,1.387,
S8c_mesh_3.ply,276.673,549.199,40.745,8.342,4.802,
S8c_mesh_4.ply,224.901,486.540,27.924,9.365,8.202,
S8c_mesh_5.ply,703.635,1175.979,68.457,16.098,11.282,
S8c_mesh_6.ply,11.134,182.720,15.254,9.057,2.515,
S8c_mesh_7.ply,708.938,2076.124,53.751,22.450,20.031,
S8c_mesh_8.ply,480.563,770.924,30.711,13.399,6.402,
S8c_mesh_9.ply,720.480,1136.767,71.824,14.710,7.577,
