File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S3b_mesh_1.ply,1691.809,2319.253,69.909,20.028,13.891,
S3b_mesh_10.ply,779.887,1398.982,68.925,24.284,15.975,
S3b_mesh_11.ply,117.480,329.097,24.219,7.358,2.561,
S3b_mesh_2.ply,412.378,1283.182,36.294,21.270,11.156,
S3b_mesh_3.ply,156.989,680.473,40.079,12.046,7.605,
S3b_mesh_4.ply,618.815,1492.866,62.450,20.351,8.517,
S3b_mesh_5.ply,466.082,780.864,36.771,7.674,7.921,
S3b_mesh_6.ply,283.394,479.075,25.894,10.807,6.654,
S3b_mesh_7.ply,88.774,476.423,36.213,18.909,7.964,
S3b_mesh_8.ply,132.773,288.069,27.397,9.298,3.886,
S3b_mesh_9.ply,217.436,374.192,34.994,6.070,3.954,
