File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S8d_mesh_1.ply,2.125,91.124,15.275,5.805,2.298,
S8d_mesh_10.ply,604.928,1057.057,45.382,15.378,9.294,
S8d_mesh_2.ply,78.075,188.074,14.517,6.966,2.999,
S8d_mesh_3.ply,70.264,505.475,39.734,8.043,4.947,
S8d_mesh_4.ply,1007.043,1695.706,56.608,18.755,12.300,
S8d_mesh_5.ply,96.446,495.970,29.261,12.863,4.420,
S8d_mesh_6.ply,385.345,830.596,34.494,14.139,7.940,
S8d_mesh_7.ply,374.641,670.381,46.562,10.282,4.379,
S8d_mesh_8.ply,422.367,485.808,21.097,10.518,9.619,
S8d_mesh_9.ply,5.748,63.208,9.331,6.001,1.578,
