File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S11_mesh_1.ply,95.244,431.684,33.711,8.682,5.686,
S11_mesh_10.ply,64.608,375.701,23.704,10.122,7.957,
S11_mesh_11.ply,87.656,296.162,23.676,8.932,5.422,
S11_mesh_12.ply,303.153,765.494,51.703,9.413,5.462,
S11_mesh_13.ply,341.356,837.399,43.737,14.491,7.667,
S11_mesh_2.ply,160.532,338.600,30.908,6.948,3.540,
S11_mesh_3.ply,371.382,672.442,32.823,12.970,6.168,
S11_mesh_4.ply,221.642,358.688,19.673,11.069,3.793,
S11_mesh_5.ply,1798.704,1931.965,56.120,19.550,17.766,
S11_mesh_6.ply,1126.495,1882.711,82.216,22.357,12.260,
S11_mesh_7.ply,343.858,760.258,46.926,10.940,7.048,
S11_mesh_8.ply,125.351,379.653,38.262,5.861,5.447,
S11_mesh_9.ply,143.915,323.681,24.167,9.529,3.883,
