File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S6a_mesh_1.ply,793.939,1505.496,88.841,16.116,5.389,
S6a_mesh_2.ply,1183.892,2846.995,103.367,19.505,10.532,
S6a_mesh_3.ply,461.952,1465.774,62.407,26.633,9.467,
S6a_mesh_4.ply,67.418,619.286,32.734,12.663,6.367,
S6a_mesh_5.ply,3093.597,3936.325,77.752,26.367,17.289,
S6a_mesh_6.ply,2.927,179.555,25.420,4.576,4.931,
S6a_mesh_7.ply,170.094,535.998,46.908,13.753,8.904,
S6a_mesh_8.ply,552.607,1641.083,61.919,34.576,9.365,
