File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S4e_mesh_1.ply,113.701,507.062,22.331,18.613,4.791,
S4e_mesh_2.ply,198.969,508.984,32.211,16.779,3.143,
S4e_mesh_3.ply,593.674,801.157,38.796,12.198,11.166,
S4e_mesh_4.ply,2722.136,3772.277,79.347,26.809,23.808,
S4e_mesh_5.ply,49.593,336.328,35.591,7.097,6.093,
S4e_mesh_6.ply,196.315,674.353,45.338,12.406,8.804,
S4e_mesh_7.ply,2006.448,2909.740,72.192,26.088,16.855,
S4e_mesh_8.ply,30.081,224.221,22.602,6.612,4.104,
S4e_mesh_9.ply,627.384,2116.761,78.456,23.898,8.238,
