File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S5c_mesh_1.ply,53.722,277.410,26.053,6.524,5.586,
S5c_mesh_10.ply,2360.963,4693.875,110.041,28.563,18.355,
S5c_mesh_2.ply,460.998,1944.728,49.281,20.397,9.362,
S5c_mesh_3.ply,216.242,436.558,31.367,9.489,7.108,
S5c_mesh_4.ply,137.058,832.109,37.681,19.156,5.984,
S5c_mesh_5.ply,199.281,1072.987,56.275,12.405,8.583,
S5c_mesh_6.ply,713.074,1223.395,46.324,12.591,8.895,
S5c_mesh_7.ply,580.822,1203.810,47.645,14.843,9.413,
S5c_mesh_8.ply,625.306,1165.724,53.702,11.511,9.617,
S5c_mesh_9.ply,4.319,217.596,19.743,5.819,2.435,
