File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0609_01_mesh_1.ply,5019.180,2572.978,72.845,23.465,13.345,
0609_01_mesh_2.ply,2436.259,1806.567,88.196,15.261,14.356,
0609_01_mesh_3.ply,1671.477,1201.896,37.129,25.050,11.093,
0609_01_mesh_4.ply,88.750,162.433,9.757,7.483,5.165,
0609_01_mesh_5.ply,2427.564,1442.125,49.279,13.256,9.635,
0609_01_mesh_6.ply,1281.802,905.224,38.530,9.283,7.937,
0609_01_mesh_7.ply,6884.611,2873.011,82.961,13.036,14.123,
0609_01_mesh_8.ply,343.888,343.219,20.028,8.198,6.318,
0609_02_mesh_1.ply,1621.434,926.950,29.656,10.870,12.861,
0609_02_mesh_10.ply,163.639,205.375,16.342,6.243,4.726,
0609_02_mesh_11.ply,766.255,551.037,15.338,10.675,10.486,
0609_02_mesh_12.ply,518.184,477.123,20.636,11.103,6.687,
0609_02_mesh_13.ply,291.847,410.682,31.426,8.799,4.596,
0609_02_mesh_14.ply,533.793,414.583,18.990,7.808,7.647,
0609_02_mesh_2.ply,546.834,497.231,23.823,14.184,7.622,
0609_02_mesh_3.ply,1415.774,1031.668,37.428,11.904,10.758,
0609_02_mesh_4.ply,185.434,200.929,11.958,6.686,6.148,
0609_02_mesh_5.ply,1677.143,1331.735,58.374,14.989,8.757,
0609_02_mesh_6.ply,471.029,456.266,21.123,12.777,6.286,
0609_02_mesh_7.ply,1254.975,810.380,27.388,12.462,9.850,
0609_02_mesh_8.ply,1178.365,743.578,27.329,11.560,10.730,
0609_02_mesh_9.ply,1838.239,1171.772,41.385,13.815,12.170,
0609_03_mesh_1.ply,1105.529,749.186,27.037,12.859,8.830,
0609_03_mesh_10.ply,674.812,483.431,18.186,9.775,8.179,
0609_03_mesh_11.ply,305.348,485.049,24.197,12.609,6.767,
0609_03_mesh_2.ply,1467.603,895.075,29.427,10.762,9.667,
0609_03_mesh_3.ply,2702.179,1492.624,51.001,15.987,10.671,
0609_03_mesh_4.ply,703.356,566.870,27.757,11.353,10.584,
0609_03_mesh_5.ply,1227.374,888.102,31.232,16.502,9.804,
0609_03_mesh_6.ply,277.062,331.840,18.424,11.063,5.566,
0609_03_mesh_7.ply,4071.059,2143.961,66.554,17.540,12.841,
0609_03_mesh_8.ply,560.212,596.095,30.377,11.356,8.844,
0609_03_mesh_9.ply,3082.658,1738.746,59.194,12.528,10.105,
0609_04_mesh_1.ply,206.611,246.230,14.258,8.154,5.229,
0609_04_mesh_10.ply,272.011,309.646,22.141,6.322,4.419,
0609_04_mesh_11.ply,189.229,208.711,11.077,8.687,5.694,
0609_04_mesh_12.ply,359.586,310.495,13.570,9.485,6.965,
0609_04_mesh_13.ply,180.692,343.522,20.885,11.435,5.954,
0609_04_mesh_14.ply,887.021,588.031,21.141,10.837,8.812,
0609_04_mesh_15.ply,168.928,202.548,10.859,7.039,5.360,
0609_04_mesh_16.ply,279.202,256.742,10.727,8.199,7.588,
0609_04_mesh_17.ply,195.460,246.267,15.659,6.885,5.651,
0609_04_mesh_18.ply,627.146,527.309,24.083,11.278,6.890,
0609_04_mesh_19.ply,587.898,464.425,20.910,8.893,8.393,
0609_04_mesh_2.ply,296.085,294.990,17.492,7.553,6.017,
0609_04_mesh_20.ply,232.902,353.502,24.104,5.569,5.309,
0609_04_mesh_21.ply,140.039,166.143,11.593,5.029,5.230,
0609_04_mesh_22.ply,-6.461,340.637,23.377,8.829,5.658,
0609_04_mesh_23.ply,507.151,533.644,29.505,8.677,6.710,
