File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0821_01_mesh_1.ply,987.276,1534.511,44.383,17.719,8.376,
0821_01_mesh_2.ply,2048.867,3437.815,105.212,16.944,13.109,
0821_01_mesh_3.ply,907.361,2895.745,86.935,18.642,12.869,
0821_01_mesh_4.ply,4911.868,7099.341,107.343,37.179,32.480,
0821_01_mesh_5.ply,267.797,621.183,34.590,10.980,4.800,
0821_01_mesh_6.ply,735.496,1442.184,42.819,24.255,5.323,
0821_01_mesh_7.ply,1314.977,1903.634,62.074,13.083,14.010,
