File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0819_01_mesh_1.ply,559.553,761.120,26.611,19.643,4.474,0.054
0819_01_mesh_10.ply,654.930,592.419,22.335,12.822,5.305,0.167
0819_01_mesh_11.ply,750.309,2475.437,47.212,22.152,14.625,0.200
0819_01_mesh_12.ply,437.310,616.980,19.436,17.331,5.140,0.127
0819_01_mesh_13.ply,230.660,594.012,26.701,8.446,9.685,0.078
0819_01_mesh_2.ply,448.843,859.371,25.662,22.682,4.085,0.074
0819_01_mesh_3.ply,908.806,1219.810,34.729,23.216,6.129,0.141
0819_01_mesh_4.ply,326.609,463.201,18.699,12.340,6.671,0.078
0819_01_mesh_5.ply,437.572,460.935,24.756,9.901,4.287,0.111
0819_01_mesh_6.ply,190.784,542.930,34.824,10.433,4.594,0.036
0819_01_mesh_7.ply,565.717,699.447,19.580,13.997,8.630,0.133
0819_01_mesh_8.ply,587.141,711.524,34.072,13.492,5.446,0.148
0819_01_mesh_9.ply,593.311,1612.715,36.127,31.927,8.100,0.291
