File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0819_04_mesh_1.ply,251.073,329.589,18.627,8.174,5.228,0.055
0819_04_mesh_10.ply,51.147,408.932,24.743,10.293,3.458,0.021
0819_04_mesh_11.ply,39.797,224.812,14.061,7.897,2.943,0.013
0819_04_mesh_12.ply,370.678,491.156,25.498,13.081,5.156,0.049
0819_04_mesh_13.ply,111.804,157.706,9.060,7.135,3.317,0.019
0819_04_mesh_14.ply,101.099,324.059,19.779,11.098,2.281,0.019
0819_04_mesh_15.ply,209.068,330.505,12.568,13.593,4.884,0.067
0819_04_mesh_16.ply,140.754,404.335,18.723,12.621,4.676,0.036
0819_04_mesh_17.ply,55.309,184.288,9.759,10.219,1.961,0.013
0819_04_mesh_18.ply,224.105,293.140,16.229,9.247,3.424,0.039
0819_04_mesh_19.ply,198.950,397.339,26.732,7.260,3.398,0.029
0819_04_mesh_2.ply,43.095,289.750,23.614,9.079,4.196,0.014
0819_04_mesh_20.ply,102.975,208.136,11.310,9.422,2.786,0.020
0819_04_mesh_21.ply,195.257,292.857,15.367,11.505,4.050,0.026
0819_04_mesh_3.ply,75.295,211.229,14.681,8.056,1.964,0.017
0819_04_mesh_4.ply,94.102,234.158,12.714,9.849,3.704,0.022
0819_04_mesh_5.ply,90.919,263.035,12.181,11.341,2.840,0.024
0819_04_mesh_6.ply,47.252,123.505,8.404,9.006,2.371,0.010
0819_04_mesh_7.ply,92.445,192.741,21.219,6.046,2.974,0.011
0819_04_mesh_8.ply,124.811,321.850,15.400,10.948,4.196,0.036
0819_04_mesh_9.ply,64.222,154.108,9.382,8.423,2.508,0.011
