File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0821_01_mesh_1.ply,16.946,627.773,29.428,7.890,6.041,
0821_01_mesh_10.ply,173.227,738.731,28.633,15.338,8.176,
0821_01_mesh_11.ply,53.530,483.097,19.539,16.828,10.992,
0821_01_mesh_12.ply,145.665,489.602,21.872,9.880,7.233,
0821_01_mesh_13.ply,260.036,1028.521,31.801,15.458,8.448,
0821_01_mesh_14.ply,437.876,1617.724,30.576,23.905,22.162,
0821_01_mesh_15.ply,375.424,592.017,24.005,13.236,6.972,
0821_01_mesh_16.ply,296.527,842.610,33.310,21.922,6.217,
0821_01_mesh_2.ply,196.607,524.468,16.431,11.935,11.879,
0821_01_mesh_3.ply,256.573,1250.926,38.373,17.737,9.850,
0821_01_mesh_4.ply,2965.853,3194.604,71.131,23.744,10.193,
0821_01_mesh_5.ply,227.965,613.614,22.384,12.278,7.766,
0821_01_mesh_6.ply,960.937,1808.760,63.334,18.094,15.152,
0821_01_mesh_7.ply,258.425,1096.521,35.694,13.733,9.744,
0821_01_mesh_8.ply,314.231,844.590,25.516,21.594,6.445,
0821_01_mesh_9.ply,465.180,770.056,33.453,18.137,7.524,
