File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0331_10_mesh_1.ply,427.826,728.128,75.996,18.135,4.449,0.149
0331_10_mesh_10.ply,95.676,182.285,24.401,3.519,2.808,0.051
0331_10_mesh_11.ply,57.386,259.174,44.373,13.587,3.375,0.015
0331_10_mesh_12.ply,1268.025,933.500,21.364,15.330,13.711,
0331_10_mesh_13.ply,32.858,189.312,29.178,19.818,4.291,0.075
0331_10_mesh_14.ply,74.807,179.706,29.280,4.394,3.863,0.017
0331_10_mesh_2.ply,144.320,309.744,42.594,7.210,3.426,0.037
0331_10_mesh_3.ply,695.780,990.207,79.878,23.040,10.854,0.255
0331_10_mesh_4.ply,481.298,829.338,76.182,30.914,7.652,0.246
0331_10_mesh_5.ply,47.927,117.199,17.787,3.025,3.023,0.010
0331_10_mesh_6.ply,45.934,122.200,23.135,2.929,2.181,0.013
0331_10_mesh_7.ply,41.967,109.677,18.126,4.183,2.337,0.009
0331_10_mesh_8.ply,125.793,273.276,36.664,6.657,6.356,0.036
0331_10_mesh_9.ply,136.324,325.037,45.503,9.161,4.148,0.053
