File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0403_10_mesh_1.ply,2983.586,1541.653,47.059,15.138,10.306,0.775
0403_10_mesh_10.ply,275.408,292.016,18.496,6.021,5.533,0.078
0403_10_mesh_11.ply,416.804,357.150,18.542,7.208,6.607,0.114
0403_10_mesh_12.ply,1240.971,827.489,23.594,13.334,10.700,0.340
0403_10_mesh_13.ply,1226.363,801.867,16.139,16.907,12.733,
0403_10_mesh_14.ply,1244.051,1015.527,44.156,20.791,9.997,0.370
0403_10_mesh_15.ply,234.309,241.955,16.593,5.899,5.071,0.076
0403_10_mesh_2.ply,793.078,745.434,32.867,11.531,7.607,0.209
0403_10_mesh_3.ply,522.405,443.813,20.242,9.223,7.032,0.151
0403_10_mesh_4.ply,1257.198,952.343,45.247,14.698,8.772,0.347
0403_10_mesh_5.ply,660.616,502.004,20.890,9.041,8.066,0.188
0403_10_mesh_6.ply,2849.820,1566.730,48.917,15.136,11.489,0.774
0403_10_mesh_7.ply,1325.946,1143.875,49.206,19.201,22.566,0.395
0403_10_mesh_8.ply,523.571,488.042,29.482,6.544,5.662,0.148
0403_10_mesh_9.ply,657.886,548.131,26.109,9.717,7.472,0.180
