File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0407_12_mesh_1.ply,226.713,388.942,40.657,8.761,4.795,0.042
0407_12_mesh_10.ply,62.305,178.950,29.488,5.471,4.048,0.016
0407_12_mesh_11.ply,67.252,137.594,9.961,7.935,3.893,0.026
0407_12_mesh_12.ply,88.888,390.463,59.180,12.112,8.292,0.161
0407_12_mesh_13.ply,90.833,246.354,24.854,7.774,3.646,0.021
0407_12_mesh_14.ply,1348.616,805.204,16.494,13.755,14.078,
0407_12_mesh_15.ply,64.461,117.065,8.712,4.961,4.471,0.019
0407_12_mesh_16.ply,89.787,120.831,9.447,6.578,4.634,0.030
0407_12_mesh_17.ply,174.065,245.534,16.252,6.708,4.833,0.046
0407_12_mesh_18.ply,126.069,287.360,32.271,5.959,4.268,0.030
0407_12_mesh_19.ply,284.488,379.603,28.432,8.580,5.272,0.065
0407_12_mesh_2.ply,138.446,248.552,25.972,7.613,4.299,0.044
0407_12_mesh_20.ply,100.790,190.449,15.570,7.448,4.615,0.045
0407_12_mesh_21.ply,77.768,185.628,26.763,7.038,4.528,0.017
0407_12_mesh_22.ply,13.034,160.172,10.771,8.348,3.328,0.014
0407_12_mesh_23.ply,93.264,150.687,16.363,4.413,3.581,0.022
0407_12_mesh_24.ply,30.151,166.777,29.429,8.897,3.290,0.010
0407_12_mesh_25.ply,427.666,503.820,24.505,10.932,7.930,0.113
0407_12_mesh_26.ply,10.894,200.964,12.283,9.198,4.454,0.026
0407_12_mesh_27.ply,132.695,213.382,12.602,6.462,4.512,0.037
0407_12_mesh_28.ply,115.733,213.000,23.782,4.082,3.214,0.024
0407_12_mesh_29.ply,118.516,167.400,16.696,5.946,4.058,0.026
0407_12_mesh_3.ply,145.920,229.334,23.885,6.304,4.225,0.038
0407_12_mesh_4.ply,125.671,271.426,20.344,6.277,4.209,0.044
0407_12_mesh_5.ply,99.704,223.440,21.908,5.515,4.058,0.028
0407_12_mesh_6.ply,368.031,422.439,19.136,11.107,6.941,0.146
0407_12_mesh_7.ply,194.495,309.088,30.697,10.166,6.002,0.094
0407_12_mesh_8.ply,111.671,190.252,14.286,6.643,3.898,0.042
0407_12_mesh_9.ply,91.915,140.253,11.825,7.245,5.673,0.021
