File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0407_02_mesh_1.ply,916.348,733.904,37.837,9.109,6.34,0.249
0407_02_mesh_10.ply,240.088,519.576,52.532,29.813,11.303,0.066
0407_02_mesh_11.ply,1354.454,1231.027,70.75,26.08,7.562,0.608
0407_02_mesh_12.ply,977.432,724.263,32.178,9.075,7.772,0.254
0407_02_mesh_13.ply,117.388,178.119,13.896,6.286,4.107,0.041
0407_02_mesh_14.ply,509.817,447.386,21.306,7.779,6.894,0.138
0407_02_mesh_15.ply,182.535,236.514,19.128,5.678,4.873,0.055
0407_02_mesh_16.ply,1011.472,702.867,11.816,13.91,13.98,
0407_02_mesh_2.ply,1224.211,1044.028,47.53,18.789,17.009,0.39
0407_02_mesh_3.ply,212.203,265.074,13.63,9.101,5.493,0.071
0407_02_mesh_4.ply,133.382,321.932,39.728,11.543,5.044,0.067
0407_02_mesh_5.ply,207.134,254.076,14.807,7.214,4.44,0.066
0407_02_mesh_6.ply,704.386,615.409,29.098,14.65,7.416,0.205
0407_02_mesh_7.ply,176.643,251.899,14.751,9.792,5.749,0.061
0407_02_mesh_8.ply,827.448,718.919,37.074,12.091,7.025,0.228
0407_02_mesh_9.ply,5083.658,2957.47,87.343,44.021,14.398,1.738
