File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0404_01_mesh_1.ply,1329.600,841.770,33.599,8.524,8.673,0.381
0404_01_mesh_10.ply,1958.233,1312.953,49.000,9.256,8.916,0.610
0404_01_mesh_11.ply,174.399,293.020,31.868,5.003,3.876,0.060
0404_01_mesh_2.ply,1346.147,900.468,16.116,15.668,13.853,
0404_01_mesh_3.ply,267.209,308.953,19.351,6.037,5.861,0.077
0404_01_mesh_4.ply,425.155,646.147,26.866,16.339,11.295,0.116
0404_01_mesh_5.ply,4285.178,2788.660,86.204,44.098,10.203,1.190
0404_01_mesh_6.ply,2554.770,1422.024,49.519,11.241,9.900,0.707
0404_01_mesh_7.ply,1926.591,1077.598,38.269,10.779,10.111,0.539
0404_01_mesh_8.ply,157.722,368.906,39.420,6.996,4.640,0.077
0404_01_mesh_9.ply,1416.143,930.961,35.828,9.855,8.173,0.415
