File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0408_07_mesh_1.ply,609.091,626.904,26.059,18.039,10.336,0.179
0408_07_mesh_10.ply,67.842,170.552,11.468,8.046,6.615,0.049
0408_07_mesh_11.ply,355.190,424.990,22.451,11.423,6.930,0.111
0408_07_mesh_12.ply,151.794,188.904,8.348,10.948,4.890,0.041
0408_07_mesh_13.ply,413.426,508.873,32.586,9.992,6.016,0.106
0408_07_mesh_14.ply,519.677,728.605,56.910,16.954,9.142,0.141
0408_07_mesh_15.ply,493.548,644.618,48.545,11.844,6.664,0.141
0408_07_mesh_16.ply,1178.434,725.767,14.794,12.786,13.281,
0408_07_mesh_17.ply,431.612,384.040,21.958,6.494,6.716,0.106
0408_07_mesh_18.ply,150.120,222.107,17.160,6.191,4.006,0.052
0408_07_mesh_2.ply,5669.514,3636.493,141.450,21.285,20.428,2.993
0408_07_mesh_3.ply,404.775,445.575,29.671,8.251,6.164,0.115
0408_07_mesh_4.ply,217.860,314.190,27.389,11.954,4.770,0.063
0408_07_mesh_5.ply,325.759,488.076,37.093,11.778,13.283,0.101
0408_07_mesh_6.ply,145.229,187.077,11.864,6.463,6.396,0.047
0408_07_mesh_7.ply,416.156,424.031,25.925,6.184,5.488,0.113
0408_07_mesh_8.ply,172.167,236.008,15.066,7.296,4.962,0.073
0408_07_mesh_9.ply,277.845,362.430,20.942,6.952,7.642,0.082
