File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0406_03_mesh_1.ply,228.450,336.087,29.391,6.115,4.446,0.055
0406_03_mesh_10.ply,435.373,632.682,57.919,7.875,4.126,0.137
0406_03_mesh_11.ply,119.599,287.865,42.936,5.542,5.148,0.034
0406_03_mesh_12.ply,343.183,573.735,43.619,22.131,7.182,0.141
0406_03_mesh_13.ply,167.135,263.214,24.952,4.677,3.930,0.047
0406_03_mesh_14.ply,620.803,734.560,55.302,9.896,8.398,0.181
0406_03_mesh_15.ply,1665.959,1194.196,42.926,17.265,13.858,0.483
0406_03_mesh_16.ply,156.685,304.566,34.359,7.227,4.953,0.043
0406_03_mesh_2.ply,287.739,676.247,46.457,24.422,15.432,0.149
0406_03_mesh_3.ply,397.915,573.916,39.683,23.273,4.830,0.115
0406_03_mesh_4.ply,260.397,558.091,67.891,21.301,9.840,0.077
0406_03_mesh_5.ply,1303.789,801.954,14.806,14.574,13.354,
0406_03_mesh_6.ply,236.236,376.373,28.634,18.171,5.536,0.064
0406_03_mesh_7.ply,394.806,641.000,50.633,17.423,7.399,0.158
0406_03_mesh_8.ply,679.004,812.985,54.755,15.460,12.183,0.160
0406_03_mesh_9.ply,271.929,431.644,43.755,5.242,5.045,0.079
