File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0407_23_mesh_1.ply,651.425,710.095,46.386,15.414,7.920,0.300
0407_23_mesh_10.ply,976.752,984.661,67.633,16.058,6.620,0.387
0407_23_mesh_11.ply,139.315,166.246,10.429,5.896,4.619,0.051
0407_23_mesh_12.ply,359.486,372.927,25.973,5.378,5.275,0.121
0407_23_mesh_13.ply,1224.039,885.729,20.079,14.412,13.795,
0407_23_mesh_14.ply,724.085,714.929,49.578,8.852,5.824,0.238
0407_23_mesh_15.ply,2176.011,1317.906,46.224,11.187,10.702,0.632
0407_23_mesh_16.ply,325.180,295.251,15.219,7.107,7.806,0.100
0407_23_mesh_2.ply,1463.869,999.293,32.726,15.479,9.085,0.449
0407_23_mesh_3.ply,847.258,591.618,18.503,11.576,10.626,0.238
0407_23_mesh_4.ply,653.583,1034.026,103.283,10.327,6.797,0.579
0407_23_mesh_5.ply,152.889,235.961,24.367,5.652,4.048,0.043
0407_23_mesh_6.ply,305.862,423.059,44.134,8.576,6.896,0.087
0407_23_mesh_7.ply,788.451,611.978,22.824,9.045,9.026,0.225
0407_23_mesh_8.ply,546.235,424.848,20.816,7.334,6.612,0.170
0407_23_mesh_9.ply,1377.955,1111.843,58.892,11.278,8.523,0.399
