File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0408_09_mesh_1.ply,48.732,194.128,27.698,8.498,4.758,0.014
0408_09_mesh_10.ply,86.239,186.723,17.365,9.916,4.970,0.043
0408_09_mesh_11.ply,66.999,181.255,15.687,14.344,3.505,0.014
0408_09_mesh_12.ply,53.340,136.001,14.860,9.161,3.248,0.014
0408_09_mesh_13.ply,47.392,95.896,11.486,4.007,3.538,0.021
0408_09_mesh_14.ply,128.296,299.274,38.029,11.411,6.997,0.028
0408_09_mesh_15.ply,44.657,138.433,21.958,5.674,2.574,0.014
0408_09_mesh_16.ply,1226.225,891.250,16.033,14.477,13.683,
0408_09_mesh_17.ply,12.505,134.235,11.345,6.241,2.897,0.013
0408_09_mesh_18.ply,54.749,135.232,14.588,5.937,3.263,0.014
0408_09_mesh_19.ply,61.712,142.933,13.902,11.387,4.077,0.017
0408_09_mesh_2.ply,12.501,162.265,9.758,8.145,3.356,0.018
0408_09_mesh_20.ply,0.621,4.430,0.590,1.459,1.653,
0408_09_mesh_21.ply,82.339,237.587,34.748,10.314,4.775,0.030
0408_09_mesh_22.ply,42.945,172.725,40.222,8.310,3.361,0.032
0408_09_mesh_23.ply,42.643,156.183,23.797,12.641,4.715,0.037
0408_09_mesh_24.ply,39.424,105.775,14.379,3.353,2.234,0.015
0408_09_mesh_25.ply,32.632,134.368,27.366,5.529,1.889,0.008
0408_09_mesh_26.ply,26.092,115.127,22.875,3.327,2.668,0.015
0408_09_mesh_27.ply,84.005,204.811,21.381,9.505,4.357,0.031
0408_09_mesh_28.ply,64.178,130.674,15.880,3.440,3.483,0.025
0408_09_mesh_29.ply,35.435,118.676,16.572,8.487,3.003,0.017
0408_09_mesh_3.ply,26.288,126.453,18.407,9.000,2.592,0.009
0408_09_mesh_30.ply,50.863,162.927,22.228,8.877,3.302,0.019
0408_09_mesh_31.ply,34.209,150.196,28.980,5.594,3.749,0.008
0408_09_mesh_32.ply,19.054,154.479,33.332,8.449,3.168,0.026
0408_09_mesh_4.ply,78.916,147.847,11.852,4.725,3.885,0.027
0408_09_mesh_5.ply,38.995,134.887,15.857,7.848,3.451,0.017
0408_09_mesh_6.ply,15.571,347.174,18.011,9.076,6.166,0.041
0408_09_mesh_7.ply,163.317,317.628,25.686,6.222,3.670,0.040
0408_09_mesh_8.ply,56.351,131.144,17.356,6.862,3.720,0.022
0408_09_mesh_9.ply,48.839,161.447,25.951,7.074,3.129,0.026
