File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0405_08_mesh_1.ply,508.829,816.807,54.158,24.743,6.400,0.144
0405_08_mesh_10.ply,103.485,270.563,13.324,5.296,4.347,0.027
0405_08_mesh_11.ply,1202.607,812.377,12.920,12.426,12.451,
0405_08_mesh_12.ply,162.053,342.675,23.822,7.191,3.815,0.038
0405_08_mesh_13.ply,46.359,184.015,24.642,7.333,3.191,0.020
0405_08_mesh_14.ply,248.231,364.392,21.274,9.743,7.444,0.069
0405_08_mesh_15.ply,298.353,406.072,13.397,8.479,6.372,0.068
0405_08_mesh_16.ply,252.636,388.699,26.547,16.858,4.932,0.066
0405_08_mesh_17.ply,34.323,125.037,16.279,5.493,3.507,0.008
0405_08_mesh_18.ply,138.019,274.286,28.297,11.365,5.058,0.035
0405_08_mesh_19.ply,169.415,342.007,40.329,10.743,4.561,0.043
0405_08_mesh_2.ply,59.062,140.030,5.808,9.144,5.480,0.017
0405_08_mesh_20.ply,51.125,173.324,19.910,4.836,3.254,0.012
0405_08_mesh_21.ply,51.843,165.998,17.563,4.917,3.233,0.019
0405_08_mesh_22.ply,99.865,225.072,17.764,5.727,3.649,0.020
0405_08_mesh_23.ply,161.337,260.066,15.557,7.195,6.062,0.050
0405_08_mesh_24.ply,36.311,165.815,10.442,7.531,3.528,0.024
0405_08_mesh_25.ply,138.393,292.372,14.052,6.747,5.093,0.037
0405_08_mesh_26.ply,43.162,180.314,20.092,11.073,6.307,0.031
0405_08_mesh_27.ply,49.260,121.930,11.521,5.653,3.412,0.009
0405_08_mesh_28.ply,43.911,130.273,16.001,4.035,3.048,0.010
0405_08_mesh_29.ply,121.868,334.279,14.461,9.208,4.644,0.027
0405_08_mesh_3.ply,127.210,214.841,10.662,6.026,4.559,0.036
0405_08_mesh_30.ply,147.637,312.516,10.384,12.187,4.664,0.035
0405_08_mesh_31.ply,70.167,241.701,11.174,8.661,3.409,0.021
0405_08_mesh_4.ply,258.252,581.643,60.910,15.384,4.055,0.066
0405_08_mesh_5.ply,158.256,268.754,12.487,11.669,4.464,0.044
0405_08_mesh_6.ply,279.368,559.451,37.661,9.424,4.619,0.062
0405_08_mesh_7.ply,61.761,142.708,14.963,5.406,3.410,0.015
0405_08_mesh_8.ply,30.782,97.754,13.643,4.650,3.542,0.008
0405_08_mesh_9.ply,85.911,237.126,32.857,6.973,3.348,0.022
