File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0405_05_mesh_1.ply,1226.565,1058.989,17.432,18.284,14.597,
0405_05_mesh_10.ply,592.403,448.946,21.405,8.476,7.347,0.156
0405_05_mesh_11.ply,1770.077,1331.529,60.743,17.987,8.956,0.525
0405_05_mesh_2.ply,4598.617,3277.283,132.065,29.935,23.832,1.775
0405_05_mesh_3.ply,336.394,361.879,21.381,8.092,6.376,0.103
0405_05_mesh_4.ply,2168.179,1566.164,60.499,14.253,8.016,0.550
0405_05_mesh_5.ply,620.902,1277.041,123.022,37.229,11.141,0.735
0405_05_mesh_6.ply,1419.302,819.185,27.540,12.426,8.734,0.385
0405_05_mesh_7.ply,142.012,172.158,9.824,7.076,4.416,0.049
0405_05_mesh_8.ply,1051.588,779.875,36.275,10.316,6.351,0.263
0405_05_mesh_9.ply,504.488,601.528,50.803,8.417,5.533,0.154
