File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0403_11_mesh_1.ply,275.508,303.433,14.708,9.165,6.577,0.078
0403_11_mesh_10.ply,18.87,191.193,45.212,4.504,4.173,0.077
0403_11_mesh_11.ply,73.577,112.709,9.517,4.687,4.657,0.021
0403_11_mesh_12.ply,39.814,237.811,13.117,11.075,4.551,0.028
0403_11_mesh_13.ply,1291.458,796.222,16.748,14.534,13.18,
0403_11_mesh_14.ply,8.865,160.334,9.38,8.374,3.344,0.016
0403_11_mesh_15.ply,293.866,281.33,15.495,9.719,5.57,0.088
0403_11_mesh_2.ply,164.625,421.157,57.119,9.193,4.967,0.158
0403_11_mesh_3.ply,1284.233,884.109,34.453,19.025,8.893,0.504
0403_11_mesh_4.ply,300.938,472.244,43.998,9.024,4.177,0.076
0403_11_mesh_5.ply,156.397,361.756,46.653,18.28,5.263,0.045
0403_11_mesh_6.ply,93.26,209.269,25.066,6.079,5.426,0.029
0403_11_mesh_7.ply,529.28,848.813,83.04,24.35,5.616,0.23
0403_11_mesh_8.ply,570.402,885.502,93.56,17.035,13.374,0.161
0403_11_mesh_9.ply,282.904,464.883,46.122,7.544,10.258,0.139
