File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0526_07_mesh_1.ply,1323.823,803.782,14.61,14.927,14.353,
0526_07_mesh_10.ply,127.009,194.371,15.723,5.437,3.682,0.021
0526_07_mesh_11.ply,2074.299,1490.48,71.899,10.733,8.481,0.421
0526_07_mesh_12.ply,17.116,129.113,18.679,8.819,1.281,0.004
0526_07_mesh_13.ply,293.097,434.778,35.625,8.488,6.066,0.085
0526_07_mesh_14.ply,103.171,188.585,23.153,4.189,4.385,0.029
0526_07_mesh_15.ply,72.989,125.494,13.377,5.655,3.311,0.022
0526_07_mesh_16.ply,118.445,137.683,6.896,7.637,5.117,0.021
0526_07_mesh_17.ply,77.478,141.48,12.46,5.822,3.406,0.017
0526_07_mesh_18.ply,105.671,191.015,18.342,6.141,3.568,0.013
0526_07_mesh_19.ply,88.211,240.972,39.935,4.568,4.353,0.017
0526_07_mesh_2.ply,13.701,124.163,10.279,8.951,3.282,0.008
0526_07_mesh_20.ply,86.097,185.835,26.803,6.808,3.881,0.019
0526_07_mesh_21.ply,547.099,489.466,22.418,7.678,7.494,0.138
0526_07_mesh_3.ply,49.794,107.167,9.692,5.066,3.516,0.009
0526_07_mesh_4.ply,35.914,90.402,11.909,5.887,3.375,0.009
0526_07_mesh_5.ply,56.665,111.458,8.991,6.161,4.288,0.02
0526_07_mesh_6.ply,213.759,364.282,31.749,14.066,4.877,0.054
0526_07_mesh_7.ply,576.586,724.551,32.859,39.539,9.097,0.143
0526_07_mesh_8.ply,88.254,174.444,15.836,7.593,3.489,0.031
0526_07_mesh_9.ply,274.474,275.602,15.933,5.829,5.792,0.072
