File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0526_11_mesh_1.ply,1191.519,743.239,32.716,10.654,8.901,0.352
0526_11_mesh_10.ply,347.952,371.885,19.929,7.519,6.11,0.068
0526_11_mesh_11.ply,182.935,235.316,17.464,6.262,5.142,0.057
0526_11_mesh_12.ply,256.376,262.752,15.085,6.575,5.298,0.052
0526_11_mesh_2.ply,421.942,496.931,31.063,7.489,5.733,0.088
0526_11_mesh_3.ply,4295.862,2914.147,116.757,43.722,10.704,1.086
0526_11_mesh_4.ply,147.933,250.982,23.918,6.138,4.211,0.056
0526_11_mesh_5.ply,369.095,605.013,66.255,10.098,7.81,0.089
0526_11_mesh_6.ply,2486.542,1471.303,59.285,19.94,13.125,0.852
0526_11_mesh_7.ply,674.289,856.413,60.704,32.263,9.81,0.186
0526_11_mesh_8.ply,549.091,564.352,32.794,11.26,5.992,0.144
0526_11_mesh_9.ply,1213.207,752.421,15.285,15.049,13.008,
