File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0713_04_mesh_1.ply,497.012,631.056,34.953,10.651,10.824,0.039
0713_04_mesh_10.ply,215.561,581.067,43.479,9.897,5.421,0.019
0713_04_mesh_11.ply,290.75,807.143,27.561,21.696,4.723,0.039
0713_04_mesh_2.ply,342.523,605.49,32.118,15.239,6.869,0.045
0713_04_mesh_3.ply,394.733,1007.833,53.266,14.963,6.314,0.048
0713_04_mesh_4.ply,107.682,354.449,28.908,8.145,11.683,0.024
0713_04_mesh_5.ply,433.759,917.689,72.915,13.928,6.525,0.045
0713_04_mesh_6.ply,325.625,921.919,42.131,20.811,9.01,0.043
0713_04_mesh_7.ply,261.123,724.757,37.543,17.378,9.604,0.041
0713_04_mesh_8.ply,181.249,441.297,33.668,13.662,9.952,0.017
0713_04_mesh_9.ply,117.322,630.133,26.836,13.33,6.416,0.061
