File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S27c_mesh_1.ply,2587.053,2919.937,70.210,23.603,18.662,
S27c_mesh_2.ply,322.296,1500.727,75.656,14.658,8.761,
S27c_mesh_3.ply,664.866,2497.834,54.103,22.772,16.312,
S27c_mesh_4.ply,1151.293,1544.963,60.472,14.850,8.880,
S27c_mesh_5.ply,829.646,1167.342,48.607,13.222,13.350,
S27c_mesh_6.ply,996.930,2102.630,95.091,17.915,17.959,
S27c_mesh_7.ply,487.798,1104.043,35.195,15.751,9.354,
S27c_mesh_8.ply,932.788,1020.446,49.665,11.245,6.580,
