File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S35b_mesh_1.ply,3666.932,2651.522,75.145,21.407,14.996,
S35b_mesh_2.ply,8596.748,9201.680,121.732,39.051,21.177,
S35b_mesh_3.ply,215.230,595.099,29.613,18.686,5.851,
