File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S26d_mesh_1.ply,309.042,655.985,49.800,13.736,7.181,
S26d_mesh_2.ply,305.573,570.762,18.727,12.133,9.053,
S26d_mesh_3.ply,384.740,797.326,38.878,16.512,6.933,
S26d_mesh_4.ply,1083.953,1875.562,73.755,29.817,13.550,
S26d_mesh_5.ply,549.398,802.227,44.313,12.007,7.468,
S26d_mesh_6.ply,132.866,679.706,36.958,26.387,6.523,
S26d_mesh_7.ply,233.724,778.536,43.554,15.958,5.592,
S26d_mesh_8.ply,756.970,968.139,53.577,10.887,7.837,
