File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S7f_mesh_1.ply,835.376,551.491,43.345,14.300,6.453,
S7f_mesh_2.ply,675.814,814.056,39.479,15.929,11.677,
S7f_mesh_3.ply,923.254,545.044,38.926,16.635,9.780,
S7f_mesh_4.ply,-732.553,515.186,46.709,11.811,10.112,
S7f_mesh_5.ply,219.103,709.540,63.642,14.224,7.980,
S7f_mesh_6.ply,404.718,668.141,56.499,19.495,6.542,
S7f_mesh_7.ply,-970.637,361.547,42.157,10.327,6.544,
S7f_mesh_8.ply,972.227,1047.716,64.917,18.421,7.586,
