File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S1e_mesh_1.ply,1412.235,1626.934,65.119,21.592,11.793,
S1e_mesh_2.ply,2230.678,2400.465,82.643,19.021,16.256,
S1e_mesh_3.ply,1664.342,2540.931,84.831,47.425,8.862,
S1e_mesh_4.ply,4040.092,2778.151,102.633,20.490,9.964,
S1e_mesh_5.ply,2639.351,1917.671,30.937,35.457,11.131,
S1e_mesh_6.ply,1298.519,1256.395,36.576,18.366,10.099,
S1e_mesh_7.ply,649.929,798.541,40.979,12.663,5.873,
S1e_mesh_8.ply,598.842,1076.544,51.583,18.694,9.742,
