File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S4e_mesh_1.ply,507.562,1064.691,72.132,23.094,7.764,
S4e_mesh_10.ply,344.930,643.871,33.476,12.690,9.295,
S4e_mesh_2.ply,451.268,999.150,56.918,14.898,8.380,
S4e_mesh_3.ply,169.117,617.090,47.377,9.772,4.593,
S4e_mesh_4.ply,853.212,1224.548,70.088,12.014,11.303,
S4e_mesh_5.ply,149.617,532.636,40.537,10.186,3.372,
S4e_mesh_6.ply,743.952,1138.429,53.062,14.903,11.448,
S4e_mesh_7.ply,360.903,956.291,48.623,17.191,9.948,
S4e_mesh_8.ply,517.372,699.120,41.600,9.806,8.928,
S4e_mesh_9.ply,368.147,763.808,45.624,15.086,7.737,
