File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S8a_mesh_1.ply,1343.745,2650.555,98.594,24.276,12.438,
S8a_mesh_2.ply,5078.376,8005.126,106.602,48.690,21.996,
S8a_mesh_3.ply,1360.405,1965.038,88.136,12.715,13.366,
