File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0408_02_mesh_1.ply,515.712,474.662,25.157,9.128,7.107,0.166
0408_02_mesh_10.ply,1195.972,674.29,13.766,12.254,13.483,
0408_02_mesh_11.ply,325.576,442.949,25.038,10.194,6.515,0.098
0408_02_mesh_12.ply,509.041,522.206,33.771,11.414,6.827,0.147
0408_02_mesh_13.ply,24.624,257.111,18.986,10.17,3.889,0.029
0408_02_mesh_14.ply,271.936,284.405,13.178,8.053,8.173,0.092
0408_02_mesh_15.ply,438.794,392.185,23.313,7.234,5.709,0.152
0408_02_mesh_16.ply,471.512,516.442,36.235,7.026,5.387,0.155
0408_02_mesh_17.ply,548.409,496.69,27.605,9.648,6.506,0.148
0408_02_mesh_18.ply,325.899,353.414,17.809,8.745,5.782,0.121
0408_02_mesh_19.ply,314.948,309.237,18.35,7.759,8.333,0.092
0408_02_mesh_2.ply,228.843,250.688,14.295,7.686,6.221,0.07
0408_02_mesh_3.ply,740.02,878.366,54.448,19.312,5.995,0.234
0408_02_mesh_4.ply,368.831,423.517,20.305,11.056,7.394,0.105
0408_02_mesh_5.ply,273.62,472.865,55.588,7.757,4.921,0.127
0408_02_mesh_6.ply,827.005,883.669,57.973,15.087,5.86,0.212
0408_02_mesh_7.ply,418.86,506.389,37.335,7.646,5.465,0.1
0408_02_mesh_8.ply,669.785,597.651,20.762,19.211,7.412,0.257
0408_02_mesh_9.ply,663.309,713.301,36.488,19.357,6.691,0.235
