File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0404_05_mesh_1.ply,1208.432,833.753,33.026,10.041,9.057,0.356
0404_05_mesh_10.ply,385.147,517.946,36.685,12.789,8.919,0.161
0404_05_mesh_11.ply,516.245,658.370,43.722,26.664,6.567,0.170
0404_05_mesh_2.ply,3085.277,1887.681,75.725,14.906,9.815,0.819
0404_05_mesh_3.ply,1334.410,818.167,13.069,11.836,14.969,
0404_05_mesh_4.ply,262.054,316.867,23.066,5.516,4.739,0.062
0404_05_mesh_5.ply,1156.474,1305.372,89.340,23.343,10.376,0.524
0404_05_mesh_6.ply,1038.084,1150.107,77.177,21.612,8.851,0.334
0404_05_mesh_7.ply,1257.843,1097.405,64.057,9.605,8.028,0.353
0404_05_mesh_8.ply,489.854,485.582,29.429,12.063,6.366,0.144
0404_05_mesh_9.ply,370.440,362.454,16.959,8.694,6.128,0.162
