File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0406_12_mesh_1.ply,1042.978,1394.987,107.194,25.881,10.284,0.484
0406_12_mesh_10.ply,4194.652,3188.972,131.709,48.625,22.052,2.717
0406_12_mesh_11.ply,1280.097,1046.345,45.224,19.197,7.511,0.407
0406_12_mesh_12.ply,159.684,241.420,16.231,7.701,6.072,0.084
0406_12_mesh_13.ply,219.179,499.183,62.955,21.637,6.454,0.182
0406_12_mesh_14.ply,489.104,451.801,27.009,6.692,6.311,0.152
0406_12_mesh_2.ply,384.177,614.707,51.418,22.904,6.599,0.146
0406_12_mesh_3.ply,188.484,232.039,17.135,4.981,4.683,0.056
0406_12_mesh_4.ply,490.619,466.843,26.348,7.851,6.563,0.194
0406_12_mesh_5.ply,341.172,388.442,24.979,8.471,5.843,0.103
0406_12_mesh_6.ply,1188.626,809.508,15.568,21.950,14.039,
0406_12_mesh_7.ply,113.055,180.788,20.512,6.047,5.630,0.032
0406_12_mesh_8.ply,198.619,231.737,18.068,5.526,4.768,0.071
0406_12_mesh_9.ply,596.784,523.635,31.533,8.910,7.308,0.210
