File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0403_05_mesh_1.ply,1284.576,868.791,17.205,15.032,14.399,
0403_05_mesh_10.ply,44.435,101.058,14.428,4.227,2.699,0.014
0403_05_mesh_11.ply,54.188,138.348,21.389,2.927,2.693,0.015
0403_05_mesh_12.ply,143.093,245.078,28.663,5.667,3.663,0.048
0403_05_mesh_13.ply,116.642,141.745,9.926,4.632,4.528,0.041
0403_05_mesh_14.ply,48.741,117.382,18.565,3.386,2.229,0.014
0403_05_mesh_15.ply,159.926,217.925,19.062,5.516,4.628,0.056
0403_05_mesh_16.ply,46.465,103.081,15.658,4.764,3.235,0.017
0403_05_mesh_17.ply,263.233,409.456,36.252,20.744,5.245,0.086
0403_05_mesh_2.ply,186.159,252.412,15.650,7.138,5.263,0.052
0403_05_mesh_3.ply,299.918,442.668,41.687,9.519,4.152,0.078
0403_05_mesh_4.ply,183.437,407.508,49.887,15.045,4.485,0.127
0403_05_mesh_5.ply,865.658,799.578,41.672,19.980,6.744,0.316
0403_05_mesh_6.ply,364.996,475.278,34.739,9.690,6.471,0.109
0403_05_mesh_7.ply,377.271,492.323,36.274,16.384,5.663,0.097
0403_05_mesh_8.ply,542.120,741.416,53.433,17.863,5.082,0.151
0403_05_mesh_9.ply,224.993,271.261,17.304,7.432,5.528,0.075
