File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0406_14_mesh_1.ply,3131.400,3135.561,145.084,69.228,14.836,2.862
0406_14_mesh_10.ply,57.309,105.806,14.777,7.189,3.868,0.015
0406_14_mesh_11.ply,5.614,154.424,14.407,6.906,3.020,0.018
0406_14_mesh_2.ply,1335.218,832.421,18.305,15.380,14.235,
0406_14_mesh_3.ply,119.386,190.913,20.104,5.312,4.155,0.040
0406_14_mesh_4.ply,26.277,129.125,16.773,5.343,2.912,0.011
0406_14_mesh_5.ply,67.306,104.301,9.105,5.425,3.452,0.018
0406_14_mesh_6.ply,1.335,119.247,9.053,7.721,2.378,0.017
0406_14_mesh_7.ply,106.429,236.196,35.877,8.442,5.727,0.026
0406_14_mesh_8.ply,64.005,126.528,17.297,3.105,3.096,0.015
0406_14_mesh_9.ply,71.244,137.020,16.681,9.283,3.689,0.020
