File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0407_07_mesh_1.ply,726.152,686.114,38.892,16.301,10.027,0.230
0407_07_mesh_10.ply,404.188,659.517,57.615,19.510,7.184,0.127
0407_07_mesh_11.ply,586.664,553.035,31.213,16.200,7.818,0.163
0407_07_mesh_12.ply,237.877,392.049,43.852,5.097,5.089,0.057
0407_07_mesh_13.ply,1308.048,759.471,13.173,14.895,13.934,
0407_07_mesh_2.ply,288.734,439.336,45.317,12.549,9.936,0.103
0407_07_mesh_3.ply,118.971,163.985,13.854,4.742,3.795,0.032
0407_07_mesh_4.ply,897.735,826.925,50.444,9.076,7.050,0.220
0407_07_mesh_5.ply,1274.008,1662.591,104.218,35.491,20.713,0.739
0407_07_mesh_6.ply,701.898,931.188,66.286,25.066,16.688,0.210
0407_07_mesh_7.ply,1025.939,892.518,40.351,24.114,8.231,0.291
0407_07_mesh_8.ply,671.458,728.906,43.346,13.586,8.598,0.222
0407_07_mesh_9.ply,338.999,747.978,61.588,40.116,24.472,0.103
