File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0409_02_mesh_1.ply,14.283,47.708,7.171,3.494,2.122,0.003
0409_02_mesh_10.ply,89.138,192.448,28.748,6.589,3.973,0.022
0409_02_mesh_11.ply,18.645,49.752,8.301,5.628,2.149,0.006
0409_02_mesh_12.ply,20.104,103.979,8.043,8.277,4.490,0.005
0409_02_mesh_13.ply,19.613,163.423,14.959,6.828,2.186,0.006
0409_02_mesh_14.ply,12.290,46.090,11.039,3.854,1.736,0.003
0409_02_mesh_15.ply,11.152,85.705,11.488,6.923,1.362,0.005
0409_02_mesh_16.ply,64.255,110.678,14.245,3.783,4.765,0.017
0409_02_mesh_17.ply,46.107,207.861,12.737,8.871,4.950,0.016
0409_02_mesh_18.ply,25.218,63.298,6.977,6.632,2.089,0.004
0409_02_mesh_19.ply,24.720,64.105,7.909,4.820,3.420,0.005
0409_02_mesh_2.ply,10.572,62.250,6.511,6.160,2.821,0.004
0409_02_mesh_3.ply,18.778,60.025,10.646,2.983,1.962,0.003
0409_02_mesh_4.ply,23.710,64.216,7.525,3.182,2.420,0.007
0409_02_mesh_5.ply,12.109,71.474,5.856,6.363,1.906,0.006
0409_02_mesh_6.ply,25.305,73.433,7.783,6.382,2.095,0.006
0409_02_mesh_7.ply,1311.968,805.837,15.271,15.968,13.296,
0409_02_mesh_8.ply,21.135,57.060,9.031,2.701,2.376,0.016
0409_02_mesh_9.ply,16.778,56.393,12.033,3.117,1.593,0.002
